Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-01 00:00:00-04:00,18.635010641158523,18.678834915161133,18.635010641158523,18.678834915161133,1100,0.0,0.0,0.0
2024-08-02 00:00:00-04:00,18.425852941318492,18.49059295654297,18.36609395018271,18.49059295654297,6200,0.0,0.0,0.0
2024-08-05 00:00:00-04:00,18.047375945523573,18.156933774147706,18.004547119140625,18.004547119140625,2200,0.0,0.0,0.0
2024-08-06 00:00:00-04:00,18.395971928644663,18.395971928644663,18.192790985107422,18.192790985107422,6400,0.0,0.0,0.0
2024-08-07 00:00:00-04:00,18.084226608276367,18.084226608276367,18.084226608276367,18.084226608276367,100,0.0,0.0,0.0
2024-08-08 00:00:00-04:00,18.356132889523593,18.386011433754668,18.356132889523593,18.358123779296875,700,0.0,0.0,0.0
2024-08-09 00:00:00-04:00,18.46868133544922,18.46868133544922,18.46868133544922,18.46868133544922,0,0.0,0.0,0.0
2024-08-12 00:00:00-04:00,18.46569207649108,18.476647669035046,18.435811633431594,18.44377899169922,4300,0.0,0.0,0.0
2024-08-13 00:00:00-04:00,18.674850074028285,18.674850074028285,18.6728572845459,18.6728572845459,200,0.0,0.0,0.0
2024-08-14 00:00:00-04:00,18.799348831176758,18.799348831176758,18.799348831176758,18.799348831176758,10000,0.0,0.0,0.0
2024-08-15 00:00:00-04:00,18.884008615267856,18.96368980407715,18.864090217769633,18.96368980407715,800,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,18.946759041784563,18.973649355178733,18.946759041784563,18.950742721557617,1300,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,18.96368884631634,19.037391662597656,18.96368884631634,19.037391662597656,1200,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,19.073246747752826,19.083206895888427,19.067270278930664,19.067270278930664,200,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,19.1728462755335,19.19475746154785,19.1728462755335,19.19475746154785,100,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,19.103126525878906,19.103126525878906,19.103126525878906,19.103126525878906,200,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,19.242565840792874,19.29236658243918,19.242565840792874,19.2853946685791,300,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,19.322243626800653,19.322243626800653,19.297344207763672,19.297344207763672,200,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,19.33818244934082,19.33818244934082,19.33818244934082,19.33818244934082,100,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,19.302324752179228,19.302324752179228,19.242565762151937,19.25551414489746,200,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,19.40207682775745,19.40207682775745,19.279443740844727,19.279443740844727,100,0.02,0.0,0.0
2024-08-30 00:00:00-04:00,19.459903717041016,19.459903717041016,19.459903717041016,19.459903717041016,200,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,19.282433658957032,19.282433658957032,19.176748275756836,19.176748275756836,10200,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,19.242550563687924,19.242550563687924,19.192700155122317,19.223608016967773,1200,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,19.162789060192427,19.162789060192427,19.01323593055169,19.07804298400879,400,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,18.963385117514722,19.00326506379001,18.86069107055664,18.86069107055664,10900,0.0,0.0,0.0
2024-09-09 00:00:00-04:00,18.94344529044394,19.01822280883789,18.94344529044394,19.01822280883789,200,0.0,0.0,0.0
2024-09-10 00:00:00-04:00,19.12590217590332,19.12590217590332,19.12590217590332,19.12590217590332,100,0.0,0.0,0.0
2024-09-11 00:00:00-04:00,18.96338642925927,19.217626571655273,18.84374277881501,19.217626571655273,2300,0.0,0.0,0.0
2024-09-12 00:00:00-04:00,19.172761094725413,19.330291748046875,19.172761094725413,19.330291748046875,1900,0.0,0.0,0.0
2024-09-13 00:00:00-04:00,19.45192628984755,19.468875885009766,19.441955827889117,19.468875885009766,2000,0.0,0.0,0.0
2024-09-16 00:00:00-04:00,19.481837415949684,19.573562622070312,19.481837415949684,19.573562622070312,400,0.0,0.0,0.0
2024-09-17 00:00:00-04:00,19.511747304608317,19.531688228673044,19.50177684257595,19.527700424194336,300,0.0,0.0,0.0
2024-09-18 00:00:00-04:00,19.58154055648384,19.591511019493478,19.461898803710938,19.461898803710938,3300,0.0,0.0,0.0
2024-09-19 00:00:00-04:00,19.621423657436065,19.637374877929688,19.621423657436065,19.637374877929688,1000,0.0,0.0,0.0
2024-09-20 00:00:00-04:00,19.701182913842146,19.701182913842146,19.681241989135742,19.681241989135742,300,0.0,0.0,0.0
2024-09-23 00:00:00-04:00,19.741064071655273,19.741064071655273,19.741064071655273,19.741064071655273,100,0.0,0.0,0.0
2024-09-24 00:00:00-04:00,19.683238143340812,19.691213753082064,19.683238143340812,19.684234619140625,800,0.0,0.0,0.0
2024-09-25 00:00:00-04:00,19.66130037000737,19.67525863647461,19.66130037000737,19.67525863647461,100,0.0,0.0,0.0
2024-09-26 00:00:00-04:00,19.780945259297074,19.780945259297074,19.731094847820525,19.760007858276367,1300,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,19.751025032250737,19.761003662354177,19.73305892944336,19.73305892944336,600,0.02,0.0,0.0
2024-09-30 00:00:00-04:00,19.733059296733465,19.830867767333984,19.711103264349774,19.830867767333984,200,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,19.701124377863678,19.73106598201148,19.695135676315648,19.704118728637695,18800,0.0,0.0,0.0
2024-10-02 00:00:00-04:00,19.7091064453125,19.7091064453125,19.7091064453125,19.7091064453125,100,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,19.66120276301953,19.66120276301953,19.628266810408743,19.651222229003906,1800,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,19.64124203806186,19.718090057373047,19.64124203806186,19.718090057373047,3700,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,19.661201773494582,19.661201773494582,19.543434143066406,19.543434143066406,1000,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,19.72108349592085,19.734058380126953,19.72108349592085,19.734058380126953,200,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,19.90073013305664,19.90073013305664,19.90073013305664,19.90073013305664,100,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,19.824878692626953,19.824878692626953,19.824878692626953,19.824878692626953,100,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,19.951627731323242,19.951627731323242,19.951627731323242,19.951627731323242,100,0.0,0.0,0.0
