Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-11-18 00:00:00-05:00,42.78186329130553,42.79040285656153,42.7605094909668,42.7605094909668,300,0.0,0.0,0.0
2021-11-19 00:00:00-05:00,42.71780672068935,42.71780672068935,42.71353530883789,42.71353530883789,300,0.0,0.0,0.0
2021-11-22 00:00:00-05:00,42.565773010253906,42.565773010253906,42.565773010253906,42.565773010253906,100,0.0,0.0,0.0
2021-11-23 00:00:00-05:00,42.50000903407933,42.50000903407933,42.48036575317383,42.48036575317383,100,0.0,0.0,0.0
2021-11-24 00:00:00-05:00,42.42229080200195,42.42229080200195,42.42229080200195,42.42229080200195,100,0.0,0.0,0.0
2021-11-26 00:00:00-05:00,42.06356307778159,42.07637405395508,42.06356307778159,42.07637405395508,100,0.0,0.0,0.0
2021-11-29 00:00:00-05:00,42.29758834838867,42.29758834838867,42.29758834838867,42.29758834838867,100,0.0,0.0,0.0
2021-11-30 00:00:00-05:00,42.20535659790039,42.20535659790039,42.20535659790039,42.20535659790039,100,0.0,0.0,0.0
2021-12-01 00:00:00-05:00,42.2463493347168,42.2463493347168,42.2463493347168,42.2463493347168,0,0.0,0.0,0.0
2021-12-02 00:00:00-05:00,42.41460418701172,42.41460418701172,42.41460418701172,42.41460418701172,0,0.0,0.0,0.0
2021-12-03 00:00:00-05:00,42.427406311035156,42.427406311035156,42.427406311035156,42.427406311035156,0,0.0,0.0,0.0
2021-12-06 00:00:00-05:00,42.54697799682617,42.54697799682617,42.54697799682617,42.54697799682617,100,0.0,0.0,0.0
2021-12-07 00:00:00-05:00,42.77674102783203,42.77674102783203,42.77674102783203,42.77674102783203,100,0.0,0.0,0.0
2021-12-08 00:00:00-05:00,42.764774322509766,42.764774322509766,42.764774322509766,42.764774322509766,0,0.0,0.0,0.0
2021-12-09 00:00:00-05:00,42.74768917317658,42.74768917317658,42.69302749633789,42.69302749633789,100,0.0,0.0,0.0
2021-12-10 00:00:00-05:00,42.70498275756836,42.70498275756836,42.70498275756836,42.70498275756836,100,0.0,0.0,0.0
2021-12-13 00:00:00-05:00,42.70241928100586,42.70241928100586,42.70241928100586,42.70241928100586,0,0.0,0.0,0.0
2021-12-14 00:00:00-05:00,42.63238525390625,42.63238525390625,42.63238525390625,42.63238525390625,0,0.0,0.0,0.0
2021-12-15 00:00:00-05:00,42.73830032348633,42.73830032348633,42.73830032348633,42.73830032348633,100,0.0,0.0,0.0
2021-12-16 00:00:00-05:00,42.72197341918945,42.72197341918945,42.72197341918945,42.72197341918945,100,0.3,0.0,0.0
2021-12-17 00:00:00-05:00,42.68330383300781,42.68330383300781,42.68330383300781,42.68330383300781,100,0.0,0.0,0.0
2021-12-20 00:00:00-05:00,42.696205139160156,42.696205139160156,42.696205139160156,42.696205139160156,100,0.0,0.0,0.0
2021-12-21 00:00:00-05:00,42.80789864386895,42.88523139042687,42.80789864386895,42.87664031982422,284800,0.0,0.0,0.0
2021-12-22 00:00:00-05:00,42.97975701663893,42.992645263671875,42.97975701663893,42.992645263671875,100,0.0,0.0,0.0
2021-12-23 00:00:00-05:00,43.074278155370756,43.09403991699219,43.074278155370756,43.09403991699219,300,0.0,0.0,0.0
2021-12-27 00:00:00-05:00,43.127544184476,43.1773796081543,43.127544184476,43.1773796081543,400,0.0,0.0,0.0
2021-12-28 00:00:00-05:00,43.14816911795518,43.15590141053836,43.14816911795518,43.151607513427734,8900,0.0,0.0,0.0
2021-12-29 00:00:00-05:00,43.091452764646014,43.13441467285156,43.091452764646014,43.13441467285156,1500,0.0,0.0,0.0
2021-12-30 00:00:00-05:00,43.14300835940039,43.14300835940039,43.087158203125,43.087158203125,800,0.0,0.0,0.0
2021-12-31 00:00:00-05:00,43.09231373975179,43.13441687082834,43.09231373975179,43.12152862548828,600,0.0,0.0,0.0
2022-01-03 00:00:00-05:00,43.0613899230957,43.0613899230957,43.0613899230957,43.0613899230957,300,0.0,0.0,0.0
